Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Portas,Final de placa,CEP,Município,Bairro,url,Cor
"Carros, vans e utilitários",FIAT FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT,Passeio,2020,69000,,Flex,Manual,,2 portas,,86071000,Londrina,Rodocentro,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/fiorino-1-4-hard-working-2020-894570071,
"Carros, vans e utilitários",FIAT STRADA WORKING PLUS 1.4 8V FLEX CS,FIAT,,2018,49181,1.4,Flex,Manual,Hidráulica,2 portas,2,81280270,Curitiba,Campo Comprido,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-wk-cc-bau-no-doc-apenas-46-mil-km-864100680,Branco
"Carros, vans e utilitários",NISSAN VERSA SL 1.6 16V FLEX FUEL 4P MEC.,NISSAN,Sedã,2013,89200,1.6,Flex,Manual,Hidráulica,4 portas,9,85887000,Matelândia,,https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/autos-e-pecas/carros-vans-e-utilitarios/versa-2013-1-6-flex-898777452,Branco
"Carros, vans e utilitários",RENAULT KWID ZEN 1.0 FLEX 12V 5P MEC.,RENAULT,Hatch,2018,38100,1.0,Flex,Manual,Hidráulica,4 portas,1,81630050,Curitiba,Hauer,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-zen-1-0-flex-ano-2018-882616546,Branco
"Carros, vans e utilitários",HONDA CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P,HONDA,Sedã,2019,35600,,Flex,Automático,Elétrica,4 portas,0,84070000,Ponta Grossa,Nova Rússia,https://pr.olx.com.br/regiao-de-ponta-grossa-e-guarapuava/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-exl-4p-894301726,Cinza
"Carros, vans e utilitários",TOYOTA COROLLA GLI UPPER 1.8 FLEX 16V AUT.,TOYOTA,Sedã,2018,45188,1.8,Flex,Automático,Hidráulica,4 portas,0,86026030,Londrina,Centro,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-1-8-2018-886484666,Prata
"Carros, vans e utilitários",TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V MEC.,TOYOTA,Sedã,2008,178000,1.8,Flex,Manual,Hidráulica,4 portas,0,86035185,Londrina,Jardim Ouro Preto,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/corola-xei-2008-flex-completo-lindo-898777319,Preto
"Carros, vans e utilitários",RENAULT CAPTUR,RENAULT,Passeio,2021,19250,1.6,Flex,Automático,Elétrica,4 portas,7,86700055,Arapongas,Centro,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/renault-captur-2021-1-6-16v-sce-flex-bose-x-tronic-886649746,Vermelho
"Carros, vans e utilitários",HONDA EX CVT,HONDA,,2019,84286,1.0,Flex,Automático,Mecânica,4 portas,1,85640000,Ampére,,https://pr.olx.com.br/regiao-de-francisco-beltrao-e-pato-branco/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-ex-cvt-892203741,Branco
"Carros, vans e utilitários",GM - CHEVROLET CRUZE PREMIER 1.4 16V TB FLEX AUT,GM - CHEVROLET,Sedã,2020,0,1.4,Flex,Automático,Elétrica,4 portas,,83040300,São José dos Pinhais,São Cristóvão,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/cruze-premier-2-top-de-linha-pronta-entrega-891554772,Outra
"Carros, vans e utilitários",HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2020,15300,1.8,Flex,Automático,Elétrica,4 portas,0,80610010,Curitiba,Água Verde,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/honda-hrv-ex-1-8-unica-dona-baixa-km-perolizada-garantia-de-fabrica-2020-898492498,Branco
"Carros, vans e utilitários",FIAT STILO 1.8/ 1.8 CONNECT FLEX 8V 5P,FIAT,Passeio,2007,120000,1.8,Flex,Manual,Hidráulica,4 portas,2,84070000,Ponta Grossa,Nova Rússia,https://pr.olx.com.br/regiao-de-ponta-grossa-e-guarapuava/autos-e-pecas/carros-vans-e-utilitarios/fiat-stilo-2007-798933755,Preto
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL,VW - VOLKSWAGEN,Hatch,1995,50000,1.0,Gasolina,Manual,Mecânica,2 portas,,86925000,Borrazópolis,,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/gol-quadrado-95-zero-898777020,Azul
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL,VW - VOLKSWAGEN,Antigo,1990,0,1.6,Gasolina,Manual,Mecânica,2 portas,6,81930165,Curitiba,Umbará,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-ano-90-pintura-nova-banco-couro-recaro-898777041,Prata
"Carros, vans e utilitários",HONDA FIT LXL 1.4/ 1.4 FLEX 8V/16V 5P MEC.,HONDA,Hatch,2008,216000,1.4,Flex,Manual,Elétrica,4 portas,2,81630240,Curitiba,Hauer,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-4-lxl-859569804,Preto
