Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Direção,Tipo de veículo
"Carros, vans e utilitários",TOYOTA COROLLA,TOYOTA,2021,8077,,,Automático,Preto,4 portas,7,88306002,Itajaí,Fazendinha,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-altis-hybrd-1-8-16v-aut-893980916,Elétrica,
"Carros, vans e utilitários",CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,2015,51000,1.6,Flex,Automático,Preto,4 portas,2,88090830,Florianópolis,Capoeiras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/c3-exclusive-2015-automatico-com-teto-51mil-km-878990458,Hidráulica,Passeio
"Carros, vans e utilitários",HYUNDAI TUCSON LIMITED 1.6 TURBO 16V AUT.,HYUNDAI,2018,65500,1.6,Gasolina,Automático,Branco,4 portas,0,88306001,Itajaí,Fazendinha,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/tucson-1-6-gasolina-limited-ecoshift-877718827,Elétrica,SUV
"Carros, vans e utilitários",GM - CHEVROLET JOY HATCH 1.0 8V FLEX 5P MEC,GM - CHEVROLET,2020,47040,,Flex,Manual,,4 portas,1,88110010,São José,Barreiros,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-joy-2020-2020-1-0-spe4-flex-manual-870201064,,Passeio
"Carros, vans e utilitários",FORD ECOSPORT SE 1.6 16V FLEX 5P MEC.,FORD,2015,52000,1.6,Flex,Manual,Branco,4 portas,7,88102500,São José,Kobrasol,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-se-1-6-16v-flex-1-6-894946440,Hidráulica,Passeio
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. LT 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,2015,83000,1.0,Flex,Manual,Prata,4 portas,6,88140000,Santo Amaro da Imperatriz,,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-lt-83-000-km-originais-893357799,Hidráulica,Sedã
"Carros, vans e utilitários",FORD RANGER XL 2.3 16V 137CV 4X2 CD REPOWER.,FORD,2006,369,2.0 - 2.9,Gás Natural,Manual,Prata,2 portas,1,88136364,Palhoça,São Sebastião,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ranger-cabine-simples-893831683,Hidráulica,Pick-up
"Carros, vans e utilitários",RENAULT LOGAN DYNAMIQUE HI-FLEX 1.6 8V 4P,RENAULT,2014,62000,1.6,Flex,Manual,Preto,4 portas,2,88095720,Florianópolis,Capoeiras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/logan-1-6-dynamique-ano-2014-top-891344954,Elétrica,Sedã
"Carros, vans e utilitários",FORD RURAL 4X4,FORD,1960,27400,4.0 ou mais,Gasolina,Manual,Vermelho,4 portas,3,88355390,Brusque,Bateas,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/jeep-willys-cj6-bernardao-890105740,Hidráulica,Antigo
"Carros, vans e utilitários",GM - CHEVROLET HATCH LT 1.0 12V FLEX 5P MEC,GM - CHEVROLET,2021,4600,1.0,Flex,Manual,Vermelho,4 portas,2,89620000,Campos Novos,,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-lt2-1-0-flex-2021-889039144,Elétrica,Hatch
"Carros, vans e utilitários",TOYOTA COROLLA,TOYOTA,2003,198000,,Gasolina,Automático,Prata,4 portas,2,88108250,São José,Roçado,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-1-8-xei-881497933,Hidráulica,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL CITY (TREND)/TITAN 1.0 T. FLEX 8V 4P,VW - VOLKSWAGEN,2009,145,1.0,Flex,Manual,Branco,4 portas,3,88090730,Florianópolis,Capoeiras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-0-trend-2009-814120180,Mecânica,Hatch
"Carros, vans e utilitários",PEUGEOT 208,PEUGEOT,2019,50000,,Flex,Automático,Branco,,9,88102700,São José,Kobrasol,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-griffe-at6-898782123,Hidráulica,
"Carros, vans e utilitários",HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,2017,49760,,Flex,Manual,,4 portas,3,88085000,Florianópolis,Capoeiras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-comfort-12v-889829746,,Passeio
"Carros, vans e utilitários",FORD KA 1.0 SEL TIVCT FLEX 5P,FORD,2015,73000,1.0,Flex,Manual,Branco,4 portas,9,88190000,Governador Celso Ramos,,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-8v-898782057,Hidráulica,Passeio
"Carros, vans e utilitários",RENAULT LOGAN,RENAULT,2020,49231,,Flex,Manual,Branco,4 portas,7,88085000,Florianópolis,Capoeiras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-life-flex-1-0-12v-4p-mec-867600336,Mecânica,
"Carros, vans e utilitários",HYUNDAI IX35 2.0 16V 170CV 2WD/4WD AUT.,HYUNDAI,2012,152000,2.0 - 2.9,Flex,Automático,Prata,4 portas,,89809506,Chapecó,Efapi,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-2012-automatica-873444265,Elétrica,SUV
"Carros, vans e utilitários",CITROEN C4 PALLAS GLX 2.0/ 2.0 FLEX AUT.,CITROEN,2013,140000,2.0 - 2.9,Flex,Automático,Prata,4 portas,1,89900000,São Miguel do Oeste,,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/c4-pallas-889074839,Hidráulica,Sedã
"Carros, vans e utilitários",FIAT TORO,FIAT,2019,61000,,Flex,Automático,Branco,4 portas,4,88095720,Florianópolis,Capoeiras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-892106009,Hidráulica,
"Carros, vans e utilitários",VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,1965,78000,1.3,Gasolina,Manual,Azul,2 portas,,88020301,Florianópolis,Centro,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fusca-1300-colecionador-1968-898781977,,Antigo
"Carros, vans e utilitários",HYUNDAI HB20 SENSE 1.0 FLEX 12V MEC,HYUNDAI,2021,0,1.0,Flex,Manual,Branco,4 portas,9,88305000,Itajaí,São João,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-sense-1-0-817038195,Hidráulica,Passeio
"Carros, vans e utilitários",DODGE JOURNEY RT  3.6 V6 AUT.,DODGE,2013,110000,3.0 - 3.9,Gasolina,Automático,Prata,4 portas,4,89201010,Joinville,Centro,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/dodge-journey-r-t-2013-898782529,Hidráulica,SUV
"Carros, vans e utilitários",GM - CHEVROLET VECTRA CD 2.0 (MODELO ANTIGO),GM - CHEVROLET,1998,0,2.0 - 2.9,Gasolina,Manual,Verde,4 portas,5,88810500,Criciúma,Mina do Mato,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vectra-2-0-no-gnv-898782008,Hidráulica,Sedã
"Carros, vans e utilitários",FORD RANGER XLS 2.2 4X4 CD DIESEL AUT.,FORD,2019,10000,,Diesel,Automático,Vermelho,,,88372122,Navegantes,Meia Praia,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/vendo-ranger-2019-impecavel-898782969,,Pick-up
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,2017,74000,1.0,Flex,Manual,Cinza,,,89221240,Joinville,Saguaçu,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/prisma-sedan-1-0-890080687,Hidráulica,Sedã
