Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,price,url,Bairro
"Carros, vans e utilitários",FORD ECOSPORT XL 1.6/ 1.6 FLEX 8V 5P,FORD,SUV,2007,220000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,6,58320000,Alhandra,16000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/ecosport-xl-895650443,
"Carros, vans e utilitários",FIAT UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P,FIAT,Hatch,2013,36000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,8,58200000,Guarabira,28900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-cel-4p-1-0-flex-completo-top-ano-2013-km-36700-quilomentros-bem-novinho-895649119,
"Carros, vans e utilitários",HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2020,27000,1.8,Flex,Automático,Elétrica,Cinza,4 portas,6,58401405,Campina Grande,109500.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/honda-hvr-ex-2020-891151172,Lauritzen
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX CITY 1.0 MI/ 1.0MI TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2012,117000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,0,58433124,Campina Grande,27700.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fox-891081152,Malvinas
"Carros, vans e utilitários",GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,GM - CHEVROLET,Pick-up,2021,5100,1.4,Flex,Manual,Hidráulica,Branco,2 portas,0,58808270,Sousa,65900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/montana-ls-1-4-2020-2021-branca-881330502,Jardim Bela Vista
"Carros, vans e utilitários",GM - CHEVROLET PRISMA,GM - CHEVROLET,Hatch,2018,50000,1.4,Flex,Manual,Hidráulica,,,,58415000,Campina Grande,0.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/onix-2018-top-alienado-895645243,Jardim Paulistano
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE TRENDLINE 1.6 T.FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2018,52000,1.6,Flex,Manual,Elétrica,Cinza,4 portas,7,58036860,João Pessoa,43900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/voyage-1-6-msi-2018-muito-novo-pneus-novos-ipva-2021-pago-884466582,Aeroclube
"Carros, vans e utilitários",NISSAN FRONTIER,NISSAN,,2014,113000,,Diesel,Manual,Mecânica,Prata,,0,58400158,Campina Grande,95900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-attack-sv-4x4-thiago-83-886005154,Centro
"Carros, vans e utilitários",GM - CHEVROLET S10,GM - CHEVROLET,,2017,100100,,Diesel,Manual,Hidráulica,Prata,2 portas,5,58400158,Campina Grande,115900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-ss10-ls-849290563,Centro
"Carros, vans e utilitários",PEUGEOT 408,PEUGEOT,,2013,140000,,,,,,,,58040540,João Pessoa,27990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/peugeot-408-2013-manual-pronto-pra-uso-gmustang-veiculos-882015264,Torre
"Carros, vans e utilitários",VW - VOLKSWAGEN ,VW - VOLKSWAGEN,,2015,74000,,,,,,,,58040540,João Pessoa,36990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/saveiro-g6-1-6-c-direcao-hidraulica-gmustang-veiculos-888693789,Torre
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP ADVANTAGE 2.5 FLEX 4X2 CD,GM - CHEVROLET,Pick-up,2020,16500,2.0 - 2.9,Flex,Manual,Elétrica,Branco,4 portas,8,58410340,Campina Grande,119000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/s-10-advantage-2020-895644400,Catolé
"Carros, vans e utilitários",HYUNDAI I30 2.0 16V 145CV 5P AUT.,HYUNDAI,Hatch,2012,84000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Preto,4 portas,9,58038381,João Pessoa,19000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/repasse-sem-parcela-895633422,Manaíra
"Carros, vans e utilitários",HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,Hatch,2014,52000,1.6,Flex,Manual,Hidráulica,Cinza,4 portas,7,58400012,Campina Grande,41990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/hb20-confort-1-6-unico-dono-52-mil-km-815076378,Centro
