Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo,Novo/Usado
"Carros, vans e utilitários",HONDA CIVIC SED. LXL/ LXL SE 1.8 FLEX 16V AUT.,HONDA,Sedã,2011,1,1.8,Flex,Manual,Elétrica,Preto,4 portas,4,13050060,Campinas,Vila Mimosa,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lxl-1-8-flex-automatico-maravilhoso-880577913,,
"Carros, vans e utilitários",HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,,2016,78541,,Flex,Automático,,,4 portas,7,04662000,São Paulo,Santo Amaro,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-5-ex-16v-flex-4p-automatico-892923345,,
"Carros, vans e utilitários",HONDA WR-V,HONDA,SUV,2018,40000,1.8,Álcool,Automático,Hidráulica,Vermelho,4 portas,2,12233002,São José dos Campos,Bosque dos Eucaliptos,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/hrv-elx-2018-automatica-completa-868511470,,
"Carros, vans e utilitários",GM - CHEVROLET S10,GM - CHEVROLET,,2011,203500,,Diesel,Manual,Hidráulica,Cinza,4 portas,3,15910000,Monte Alto,,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s-10-colina-d-841455093,,
"Carros, vans e utilitários",GM - CHEVROLET AGILE LTZ 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2013,160000,1.4,Flex,Manual,Hidráulica,Prata,4 portas,,14170700,Sertãozinho,Jardim São José,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/gm-agile-ltz-867434877,,
"Carros, vans e utilitários",GM - CHEVROLET SPIN ACTIV7 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,Van/Utilitário,2020,64000,1.8,Flex,Automático,Hidráulica,Prata,4 portas,7,13070055,Campinas,Jardim Chapadão,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/spin-1-8-activ7-2020-7-lugares-889828142,,
"Carros, vans e utilitários",MITSUBISHI ASX 2.0 16V 160CV AUT.,MITSUBISHI,SUV,2012,83000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Vermelho,4 portas,3,01252010,São Paulo,Sumaré,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/asx-top-898416484,,
"Carros, vans e utilitários",AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,SUV,2017,86980,1.4,Flex,Automático,Hidráulica,Branco,4 portas,3,05181000,São Paulo,Jaraguá,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/audi-q3-2017-883942256,,
"Carros, vans e utilitários",VW - VOLKSWAGEN TIGUAN ALLSPAC R-LINE 350 TSI 2.0 4X4,VW - VOLKSWAGEN,Passeio,2020,10000,2.0 - 2.9,Gasolina,Automático,Elétrica,Prata,4 portas,8,09820000,São Bernardo do Campo,Demarchi,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-tiguan-allspace-r-line-350-tsi-2-0-4x4-aut-ano-2019-20-km-10-000-878268377,,
"Carros, vans e utilitários",FORD FIESTA CLASS 1.0 4P,FORD,Hatch,2003,153321,1.0,Gasolina,Manual,Mecânica,Verde,4 portas,,02201000,São Paulo,Vila Gustavo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiesta-gl-1-0-872540193,,
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK HIGHLINE CD 3.0 4X4 TB DIES. AUT.,VW - VOLKSWAGEN,Passeio,2019,58000,,Diesel,Automático,,,4 portas,0,14091000,Ribeirão Preto,Jardim Macedo,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/amarok-2018-2019-3-0-v6-tdi-diesel-highline-cd-4motion-automatico-894904594,,
"Carros, vans e utilitários",GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,Hatch,2011,134000,1.0,Flex,Automático,Hidráulica,Prata,4 portas,6,12230000,São José dos Campos,Jardim Satélite,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-celta-spirit-1-0-completo-886625707,,
"Carros, vans e utilitários",FORD ECOSPORT,FORD,,2005,176458,,Flex,Manual,Hidráulica,Prata,4 portas,0,15910000,Monte Alto,,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-xlt-1-6-870315987,,
