Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url,Tipo de veículo
"Carros, vans e utilitários",FIAT STRADA WORKING CELEB.1.4 FIRE FLEX 8V CS,FIAT,2016,72000,1.4,Flex,Manual,Hidráulica,Vermelho,2 portas,7,93800000,Sapiranga,,44900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-1-4-working-2016-70-000km-892627015,Pick-up
"Carros, vans e utilitários",HYUNDAI I30CW 2.0 16V 145CV MEC. 5P,HYUNDAI,2011,138000,,Flex,Manual,Hidráulica,Preto,4 portas,5,93260001,Esteio,Centro,38900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-i30-cw-2-0-manual-2011-878173323,
"Carros, vans e utilitários",GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2013,109000,1.8,Flex,Automático,Hidráulica,Prata,4 portas,7,98590000,Santo Augusto,,35000.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/spin-1-8-lt-automatica-5-lugar-884423956,Passeio
"Carros, vans e utilitários",FIAT PALIO ATTRA./ITALIA 1.4 EVO F.FLEX 8V 5P,FIAT,2013,98000,1.4,Gasolina,Manual,Hidráulica,Vermelho,4 portas,2,94044000,Gravataí,Distrito Ind,26900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-1-4-repasse-repasse-repasse-abaixo-da-fipe-nada-por-fazer-896008200,Hatch
"Carros, vans e utilitários",FIAT STRADA 1.3 MPI FIRE 8V 67CV CS,FIAT,2004,100000,1.3,Gasolina,Manual,Mecânica,Branco,2 portas,0,95890000,Teutônia,,19900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/strada-fire-898642326,Pick-up
"Carros, vans e utilitários",FORD RANGER LIMITED 3.2 20V 4X4 CD AUT. DIES.,FORD,2017,160000,2.0 - 2.9,Diesel,Automático,Elétrica,Branco,4 portas,3,95650000,Igrejinha,,158000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/troco-caminhonete-ranger-limited-2017-por-caminhao-bau-acima-de-2010-897148283,Van/Utilitário
"Carros, vans e utilitários",MERCEDES-BENZ GLA-200 ENDURO 1.6 TB 16V FLEX AUT.,MERCEDES-BENZ,2018,36000,1.6,Gasolina,Automático,Hidráulica,Branco,4 portas,1,95097350,Caxias do Sul,São Leopoldo,163900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/gla-200-enduro-top-de-linha-848107254,SUV
"Carros, vans e utilitários",TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.,TOYOTA,2016,22000,1.8,Flex,Automático,Hidráulica,Cinza,4 portas,0,95076510,Caxias do Sul,Bela Vista,76000.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-22km-completo-para-pessoas-exigentes-898641906,Sedã
"Carros, vans e utilitários",VW - VOLKSWAGEN PASSAT 2.8 V6 TIPTRONIC,VW - VOLKSWAGEN,1999,135000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Preto,4 portas,6,99010021,Passo Fundo,Centro,10000.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/pecas-passat-variant-99-2-8-v6-898642001,Antigo
"Carros, vans e utilitários",HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,2015,70000,1.0,Flex,Manual,Elétrica,Preto,4 portas,1,92010011,Canoas,Centro,41900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb-20-comfort-1-0-flex-852147239,Hatch
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX XTREME 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2020,29756,,Flex,Manual,,,4 portas,7,95520000,Osório,,61990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-1-6-msi-xtreme-886047049,Passeio
"Carros, vans e utilitários",TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,TOYOTA,2021,35,2.0 - 2.9,Diesel,Automático,Hidráulica,Vermelho,4 portas,9,94470000,Viamão,Viamópolis,312000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-toyota-hilux-srx-zero-km-ja-emplacada-897874977,Pick-up
