Categoria,Modelo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Portas,CEP,Município,Bairro,price,url,Marca,Cor,Tipo de veículo,Final de placa
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,2016,100,1.0,Flex,Manual,Elétrica,4 portas,59015900,Natal,Tirol,36500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-897975340,FORD,Prata,Hatch,2
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,2018,44000,1.4,Flex,Manual,Hidráulica,2 portas,59066180,Natal,Candelária,52500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/strada-cabine-simples-2018-868636631,FIAT,Branco,Van/Utilitário,2
"Carros, vans e utilitários",FORD ECOSPORT XLS FREESTYLE 1.6 FLEX 8V 5P,2011,66322,1.6,Flex,Manual,Hidráulica,4 portas,59078090,Natal,Capim Macio,32500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ecosport-freestyle-2011-881825477,FORD,Preto,SUV,4
"Carros, vans e utilitários", ,2014,88000,1.6,Flex,Manual,Hidráulica,4 portas,59152820,Parnamirim,Nova Parnamirim,7500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/repasso-fiesta-1-6-2014-781402168,,,Hatch,
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,2020,48845,,Flex,Manual,,4 portas,59080000,Natal,Capim Macio,55990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2019-2020-1-0-flex-manual-871747183,GM - CHEVROLET,,Passeio,7
"Carros, vans e utilitários",FORD KA 1.5 SE 12V FLEX 5P MEC.,2016,45000,1.5,Flex,Manual,Hidráulica,4 portas,59031630,Natal,Lagoa Seca,36500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2016-1-5-889689569,FORD,Branco,Hatch,2
"Carros, vans e utilitários",FIAT PALIO 1.0 CELEBR. ECONOMY F.FLEX 8V 2P,2007,105,1.0,Flex,Manual,Hidráulica,2 portas,59042250,Natal,Nordeste,16000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/palio-2007-897972851,FIAT,Branco,Passeio,3
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1000 (MODELO ANTIGO),1994,0,1.0,Gasolina,Manual,Mecânica,2 portas,59075800,Natal,Lagoa Nova,5800.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-quadrado-897972711,VW - VOLKSWAGEN,Branco,Hatch,0
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF 2.0/ 2.0 MI FLEX COMFORTLINE/ SPORT,2008,148216,2.0 - 2.9,Flex,Manual,Hidráulica,4 portas,59380000,Currais Novos,,16500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/golf-comfortline-completo-de-tudo-funcionando-tudo-quitado-porem-atrasado-no-detran-897967909,VW - VOLKSWAGEN,Prata,Hatch,4
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LTZ 2.8 TDI 4X4 CD DIES.AUT,2020,39000,,Diesel,Automático,,4 portas,59086005,Natal,Neópolis,195000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/s10-2019-2020-2-8-ltz-4x4-cd-16v-turbo-diesel-4p-automatico-874208214,GM - CHEVROLET,,Passeio,5
"Carros, vans e utilitários",FORD EDGE SEL 3.5 V6 24V AWD AUT.,2011,87600,3.0 - 3.9,Gasolina,Automático,Hidráulica,4 portas,59086200,Natal,Neópolis,47990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/edge-2010-2011-3-5-v6-gasolina-sel-awd-automatico-852219607,FORD,Preto,Passeio,2
"Carros, vans e utilitários",HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,2017,56130,1.6,Flex,Manual,Hidráulica,4 portas,59086200,Natal,Neópolis,48900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/hb20-2016-2017-1-6-comfort-plus-16v-flex-4p-manual-890866513,HYUNDAI,Prata,Passeio,3
"Carros, vans e utilitários",TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,2019,39000,1.3,Flex,Manual,Elétrica,4 portas,59140840,Parnamirim,Cohabinal,50900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-x-1-3-hatch-2019-893822406,TOYOTA,Branco,Hatch,8
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,2019,38000,1.0,,Manual,Hidráulica,4 portas,59090515,Natal,Ponta Negra,45900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vendo-onix-joy-1-0-2019-897964867,GM - CHEVROLET,Prata,Hatch,
"Carros, vans e utilitários",HYUNDAI I30 1.8 16V AUT. 5P,2015,68000,1.8,Flex,Automático,Elétrica,4 portas,59066400,Natal,Pitimbu,68900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/i30-2015-unico-dono-889824423,HYUNDAI,Branco,Passeio,2
"Carros, vans e utilitários",HYUNDAI HB20 SENSE 1.0 FLEX 12V MEC,2021,0,,Flex,Manual,,4 portas,59066180,Natal,Candelária,61990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2021-2021-1-0-12v-flex-sense-manual-890872200,HYUNDAI,,Passeio,5
"Carros, vans e utilitários",FIAT TORO FREEDOM 2.0 16V 4X4 DIESEL AUT.,2019,4700,2.0 - 2.9,Diesel,Automático,Hidráulica,4 portas,59380000,Currais Novos,,,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vendido-conrado-camionetes-e-multimarcas-770978800,FIAT,Branco,Pick-up,7
"Carros, vans e utilitários",HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,2020,36000,1.8,Flex,Automático,Elétrica,4 portas,59066180,Natal,Candelária,112890.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/hr-v-ex-automatica-2020-895468579,HONDA,Vermelho,SUV,4
"Carros, vans e utilitários",JEEP RENEGADE,2020,42500,1.8,Flex,Automático,Elétrica,4 portas,59086005,Natal,Neópolis,95390.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-2020-1-8-16v-flex-longitude-4p-automatico-875504327,JEEP,Cinza,Passeio,1
"Carros, vans e utilitários",GM - CHEVROLET TRAILBLAZER LTZ 2.8 CTDI DIESEL AUT.,2017,93000,2.0 - 2.9,Diesel,Automático,Hidráulica,4 portas,59380000,Currais Novos,,0.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vendido-siga-nos-no-instagram-conradosouza-camionetes-864254791,GM - CHEVROLET,Prata,SUV,0
"Carros, vans e utilitários",FORD FIESTA SE 1.0 8V FLEX 5P,2014,146000,1.0,Flex,Manual,Hidráulica,4 portas,59003050,Natal,,26900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/fiesta-2014-883797304,FORD,Preto,Hatch,5
"Carros, vans e utilitários",HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,2017,29000,,Flex,Manual,,4 portas,59066180,Natal,Candelária,45990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/hb20-2017-2017-1-0-comfort-plus-12v-flex-4p-manual-890860307,HYUNDAI,,Passeio,9
"Carros, vans e utilitários",FIAT PALIO ATTRA./ITALIA 1.4 EVO F.FLEX 8V 5P,2014,118000,1.4,Flex,Manual,Hidráulica,4 portas,59086005,Natal,Neópolis,35990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/palio-attractive-1-4-2014-883624506,FIAT,Branco,Hatch,2
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,2005,13130,1.0,Gasolina,Manual,Hidráulica,4 portas,59108000,Natal,Potengi,16800.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vende-se-festa-extra-897961330,FORD,Vermelho,Hatch,4
"Carros, vans e utilitários",RENAULT CLIO AUTHENTIQUE HI-FLEX 1.0 16V 5P,2008,85487,1.0,Flex,Manual,Hidráulica,4 portas,59149350,Parnamirim,Emaús,15499.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/clio-869817468,RENAULT,Prata,Hatch,5
"Carros, vans e utilitários",KIA MOTORS SPORTAGE LX 2.0 16V 142CV 5P,2014,68000,2.0 - 2.9,Flex,Automático,Elétrica,4 portas,59066180,Natal,Candelária,71900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/sportage-2013-2014-2-0-lx-4x2-16v-flex-4p-automatico-881816375,KIA MOTORS,Cinza,Passeio,2
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,2019,58138,1.0,Flex,Manual,Hidráulica,4 portas,59037700,Natal,Alecrim,45900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/gol-nova-geracao-883598496,VW - VOLKSWAGEN,Branco,Hatch,2
"Carros, vans e utilitários",FORD FIESTA 1.6 16V FLEX AUT. 5P,2015,70000,1.6,Flex,Automático,Hidráulica,4 portas,59086005,Natal,Neópolis,42990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/fiesta-se-1-6-automatico-2015-892477897,FORD,Branco,Hatch,7
"Carros, vans e utilitários",FIAT FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,2020,28367,1.4,Flex,Manual,Hidráulica,2 portas,59066180,Natal,Candelária,72491.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/fiorino-hard-working-1-4-2p-2020-837822595,FIAT,Branco,Van/Utilitário,7
