Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Final de placa,CEP,Município,price,url,Portas,Bairro
"Carros, vans e utilitários",HONDA CIVIC SEDAN SPORT 2.0 FLEX 16V AUT.4P,HONDA,Sedã,2019,34000,2.0 - 2.9,Flex,Automático,Hidráulica,Preto,3,49200000,Estância,107000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-sport-2019-automatico-894496361,4 portas,
"Carros, vans e utilitários",FIAT PALIO CELEBRATION 1.0 FIRE FLEX 8V 2P,FIAT,Sedã,2009,124697,1.0,Flex,Manual,Hidráulica,Prata,8,49600000,Nossa Senhora das Dores,19500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/palio-completo-894497423,4 portas,
"Carros, vans e utilitários",FORD FIESTA SEDAN 1.6 16V FLEX MEC.,FORD,Sedã,2007,100000,1.8,Gasolina,Manual,Hidráulica,Preto,1,49700000,Capela,15000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-ford-fiesta-894488389,4 portas,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL SPECIAL 1.0 TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,Passeio,2015,35000,1.0,Flex,Manual,Hidráulica,Branco,3,49055180,Aracaju,38500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/gol-2015-2015-1-0-special-35-mil-km-unico-dono-891421371,4 portas,Getúlio Vargas
"Carros, vans e utilitários",MERCEDES-BENZ C-180 1.6 TURBO 16V/FLEX 16V AUT.,MERCEDES-BENZ,Sedã,2014,100000,1.8,Gasolina,Automático,Hidráulica,Branco,0,49055520,Aracaju,73000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/mercedes-c180-1-6-turbo-flex-at-2014-866230160,4 portas,Getúlio Vargas
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX BLUEMOTION 1.6 MI TOTAL FLEX 5P.,VW - VOLKSWAGEN,Passeio,2013,100000,1.6,Flex,Manual,Hidráulica,Prata,2,49503177,Itabaiana,36500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vw-fox-1-6-bluemotion-2013-prata-894475381,4 portas,Serrano
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO SUPER SURF 1.6 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,Conversível,1999,130000,1.8,Flex,Manual,Mecânica,Vermelho,0,49480000,Simão Dias,30000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-aceito-ofertas-894487777,2 portas,
"Carros, vans e utilitários", ,,,2011,0,,,,,,,49600000,Nossa Senhora das Dores,,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vende-se-voyage-894468814,,
"Carros, vans e utilitários",VOLVO S60 T-4 1.6 180CV 4P,VOLVO,Sedã,2011,861,1.7,Gasolina,Automático,Hidráulica,Azul,0,49505900,Itabaiana,14950.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/promocao-de-lancamento-piscina-6m-em-36x-no-crediario-894474963,4 portas,Miguel Teles de Mendonça
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LTZ 2.8 TDI 4X4 CD DIES.AUT,GM - CHEVROLET,,2020,12000,,Diesel,Automático,Hidráulica,Branco,3,49000000,Aracaju,195000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/gm-s10-ltz-2-8-diesel-2020-12-mil-km-894458852,4 portas,
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE,VW - VOLKSWAGEN,,2019,200000,,,,,,,49075530,Aracaju,0.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-led-20-mil-lumens-894466252,,Siqueira Campos
"Carros, vans e utilitários",FIAT PALIO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,FIAT,Passeio,2013,100000,1.0,Flex,Manual,Hidráulica,Cinza,8,49060000,Aracaju,28900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/palio-2013-1-0-attractive-894462087,4 portas,Santo Antônio
"Carros, vans e utilitários",GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,Hatch,2014,85169,1.0,Flex,Manual,Hidráulica,Prata,5,49082000,Aracaju,25000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/celta-1-0-lt-13-14-r-25-000-00-894458076,4 portas,Novo Paraíso
"Carros, vans e utilitários",HYUNDAI HB20 VISION 1.6 FLEX 16V AUT,HYUNDAI,Sedã,2021,16000,1.6,Flex,Automático,Elétrica,Preto,2,49000000,Aracaju,71000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/hb20s-2021-vision-1-6-automatico-894456197,4 portas,
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO SED. COMFORT. 1.6 MI TOT. FLEX 8V,VW - VOLKSWAGEN,Sedã,2004,100000,1.6,Gasolina,Manual,Hidráulica,Preto,3,49400000,Lagarto,11500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/polo-2004-894452651,4 portas,
