Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,url,Final de placa
"Carros, vans e utilitários",HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2016,49900,1.8,Flex,Automático,Hidráulica,Branco,4 portas,76804021,Porto Velho,São Cristóvão,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/honda-hr-v-893545411,8
"Carros, vans e utilitários",VW - VOLKSWAGEN JETTA HIGHLINE 2.0 TSI 16V 4P TIPTRONIC,VW - VOLKSWAGEN,Passeio,2015,97989,,Flex,Automático,,,4 portas,76811738,Porto Velho,Eldorado,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/jetta-2014-2015-2-0-trendline-flex-4p-tiptronic-893606279,5
"Carros, vans e utilitários",GM - CHEVROLET BLAZER JIMMY 4.3 V6,GM - CHEVROLET,SUV,1975,452,1.6,Gasolina,Manual,Hidráulica,Vermelho,4 portas,76834899,Porto Velho,Área Rural de Porto Velho,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-16-hectares-bom-de-agua-893567658,9
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V MEC. 4P,HONDA,Sedã,2009,138000,1.8,Flex,Manual,Hidráulica,Cinza,4 portas,76807152,Porto Velho,Nova Floresta,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-868838624,
"Carros, vans e utilitários",HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,Hatch,2013,102000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,76870072,Ariquemes,Setor 01,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-flex-placa-mercosul-final-06-pago-893562512,5
"Carros, vans e utilitários",NISSAN MARCH S 1.0 16V FLEX FUEL 5P,NISSAN,Passeio,2018,90000,1.0,Flex,Manual,Elétrica,Prata,4 portas,76806202,Porto Velho,Floresta,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-893510616,1
"Carros, vans e utilitários",PUMA ,PUMA,,2017,38227,,,,,,,76803548,Porto Velho,Costa e Silva,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-onix-38-mil-kilometros-rodado-ano-2017-segundo-dono-mateus-893494659,
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,SUV,2019,29000,1.0,Flex,Manual,Elétrica,Branco,,76801116,Porto Velho,Centro,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-1-0-2019-18-893496099,4
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2020,5000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,76811392,Porto Velho,Castanheira,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-g8-893493164,3
"Carros, vans e utilitários",TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,TOYOTA,Pick-up,2019,45000,2.0 - 2.9,Diesel,Automático,Hidráulica,Preto,4 portas,76820534,Porto Velho,Flodoaldo Pontes Pinto,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/hllux-srx-19-19-893482317,1
