Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo de veículo
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2021,5000,2.0 - 2.9,Flex,Automático,Elétrica,Prata,4 portas,4,71250040,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2021-5mil-kms-868651022,Sedã
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,2016,109000,,Flex,Automático,,,4 portas,9,71250040,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-2015-2016-1-4-mpfi-lt-8v-flex-4p-automatico-893573519,Passeio
"Carros, vans e utilitários",CITROEN C4 GLX 1.6 FLEX 16V 5P MEC.,CITROEN,2010,122000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,,72006075,Brasília,Setor Habitacional Vicente Pires,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/c4-hatch-2010-1-6-manual-completo-impecavel-898553966,Hatch
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,2020,12721,,Flex,Manual,Elétrica,Cinza,,3,70297400,Brasília,Asa Sul,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-joy-black-5p-898553615,Hatch
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,2014,156600,1.0,Flex,Manual,Hidráulica,Branco,4 portas,8,71958180,Brasília,Areal (Águas Claras),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-1-0-economy-2014-top-898554900,Hatch
"Carros, vans e utilitários",FORD ECOSPORT FREESTYLE 1.6 16V FLEX 5P AUT.,FORD,2017,49000,1.6,Flex,Automático,Elétrica,Prata,4 portas,5,71250020,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ecosport-se-1-6-aut-2017-2017-financio-aceito-trocas-889042617,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN UP! MOVE 1.0 TSI TOTAL FLEX 12V 5P,VW - VOLKSWAGEN,2017,68800,1.0,Flex,Manual,Elétrica,Prata,4 portas,1,72015560,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-up-tsi-1-0-move-2016-2017-2-dono-893085907,Hatch
"Carros, vans e utilitários",FIAT PUNTO ATTRACTIVE ITALIA 1.4 F.FLEX 8V 5P,FIAT,2016,70000,1.4,Flex,Manual,Hidráulica,Vermelho,4 portas,6,71250020,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/punto-italia-1-4-completo-2016-financio-aceito-trocas-892868844,Hatch
"Carros, vans e utilitários",FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2014,80000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,0,71250020,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ecosport-titanium-2-0-aut-financio-aceito-trocas-891271370,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE I MOTION COMF/HGHLI.1.6 T.FLEX 8V,VW - VOLKSWAGEN,2015,100000,1.6,Flex,Semi-Automático,Hidráulica,Prata,4 portas,8,71250020,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-confortiline-1-6-2015-financio-aceito-trocas-892850536,Sedã
